system_id,timestamp,temperature,humidity,moisture,ph,ec,nitrogen,phosphorus,potassium,source_name,energy,cps,activity
Lisimeter_1,2025-08-25 21:25:01,26.08,54.54,49.2,7.16,902.0,148.0,83.0,65.0,Co-60,1306.99,297.0,1.24
Lisimeter_2,2025-08-25 21:25:03,26.24,54.52,49.32,7.16,852.0,143.0,66.0,109.0,Co-60,1218.7,308.0,1.02
Lisimeter_1,2025-08-25 21:25:03,25.98,54.3,49.65,7.18,517.0,117.0,86.0,149.0,Co-60,1238.22,305.0,1.46
Lisimeter_2,2025-08-25 21:25:05,26.44,53.03,47.48,7.2,957.0,161.0,75.0,97.0,Co-60,1271.98,294.0,1.7
Lisimeter_1,2025-08-25 21:25:05,25.84,53.23,47.97,7.05,556.0,112.0,67.0,52.0,Co-60,1250.9,301.0,1.3
Lisimeter_2,2025-08-25 21:25:07,25.62,54.43,49.6,7.08,991.0,110.0,73.0,108.0,Co-60,1245.96,295.0,1.51
Lisimeter_1,2025-08-25 21:25:07,26.19,54.87,48.58,7.17,734.0,116.0,81.0,146.0,Co-60,1170.8,302.0,1.61
Lisimeter_2,2025-08-25 21:25:09,25.61,53.58,47.18,7.21,837.0,109.0,96.0,106.0,Co-60,1200.08,285.0,1.14
Lisimeter_1,2025-08-25 21:25:09,25.83,54.55,46.38,7.1,649.0,106.0,100.0,141.0,Co-60,1323.17,297.0,2.19
Lisimeter_2,2025-08-25 21:25:11,25.83,54.02,45.92,7.15,993.0,125.0,95.0,63.0,Co-60,1315.95,280.0,1.32
Lisimeter_1,2025-08-25 21:25:11,25.98,55.09,47.5,7.09,821.0,102.0,87.0,140.0,Co-60,1297.78,288.0,1.43
Lisimeter_2,2025-08-25 21:25:13,26.48,54.77,48.56,7.12,850.0,175.0,53.0,101.0,Co-60,1212.83,284.0,1.96
Lisimeter_1,2025-08-25 21:25:13,26.42,53.91,46.33,7.23,686.0,176.0,71.0,78.0,Co-60,1185.33,275.0,2.47
Lisimeter_2,2025-08-25 21:25:15,25.96,54.62,45.23,7.17,594.0,190.0,76.0,111.0,Co-60,1269.98,284.0,1.48
Lisimeter_1,2025-08-25 21:25:15,25.96,54.99,48.82,7.09,527.0,192.0,69.0,146.0,Co-60,1188.04,273.0,1.86
Lisimeter_2,2025-08-25 21:25:17,25.5,54.25,46.41,7.21,542.0,145.0,68.0,117.0,Co-60,1297.62,285.0,1.16
Lisimeter_1,2025-08-25 21:25:17,26.2,54.55,47.77,7.1,901.0,137.0,83.0,52.0,Co-60,1306.5,263.0,1.44
Lisimeter_2,2025-08-25 21:25:19,25.5,55.82,47.79,7.21,901.0,182.0,98.0,77.0,Co-60,1179.59,268.0,1.8
Lisimeter_1,2025-08-25 21:25:19,25.66,54.52,47.69,7.13,554.0,165.0,65.0,106.0,Co-60,1266.36,263.0,1.01
Lisimeter_2,2025-08-25 21:25:21,26.26,54.15,47.61,7.1,810.0,117.0,84.0,106.0,Co-60,1206.37,273.0,1.65
Lisimeter_1,2025-08-25 21:25:21,25.65,54.05,45.5,7.14,760.0,143.0,64.0,69.0,Co-60,1182.06,253.0,2.15
Lisimeter_2,2025-08-25 21:25:23,25.92,55.01,46.07,7.23,657.0,191.0,69.0,67.0,Co-60,1327.13,263.0,1.32
Lisimeter_1,2025-08-25 21:25:23,25.95,55.19,45.52,7.08,893.0,191.0,95.0,54.0,Co-60,1266.31,262.0,1.97
Lisimeter_2,2025-08-25 21:25:25,25.55,54.96,44.1,7.14,552.0,196.0,96.0,125.0,Co-60,1289.42,246.0,2.47
Lisimeter_1,2025-08-25 21:25:25,26.12,54.75,47.66,7.09,618.0,170.0,61.0,130.0,Co-60,1240.72,251.0,1.16
Lisimeter_2,2025-08-25 21:25:27,26.11,54.47,47.44,7.16,920.0,189.0,68.0,89.0,Co-60,1271.22,252.0,1.17
Lisimeter_1,2025-08-25 21:25:27,25.46,55.18,46.06,7.1,748.0,130.0,65.0,64.0,Co-60,1228.46,244.0,1.03
Lisimeter_2,2025-08-25 21:25:29,25.58,55.86,45.99,7.21,501.0,175.0,68.0,73.0,Co-60,1294.83,245.0,1.83
Lisimeter_1,2025-08-25 21:25:29,25.83,55.54,46.81,7.25,864.0,189.0,91.0,144.0,Co-60,1240.35,234.0,2.4
Lisimeter_2,2025-08-25 21:25:31,25.57,54.36,43.92,7.11,962.0,185.0,88.0,114.0,Co-60,1278.19,228.0,1.8
Lisimeter_1,2025-08-25 21:25:31,25.38,53.91,45.9,7.2,763.0,164.0,61.0,134.0,Co-60,1304.55,222.0,1.9
Lisimeter_2,2025-08-25 21:25:33,25.8,55.59,45.83,7.11,903.0,169.0,71.0,119.0,Co-60,1318.81,218.0,2.03
Lisimeter_1,2025-08-25 21:25:33,25.8,54.68,46.0,7.16,545.0,104.0,82.0,142.0,Co-60,1293.43,230.0,1.62
Lisimeter_2,2025-08-25 21:25:35,25.42,55.14,46.24,7.11,974.0,119.0,93.0,118.0,Co-60,1248.15,210.0,2.38
Lisimeter_1,2025-08-25 21:25:35,24.76,54.78,44.51,7.17,897.0,116.0,71.0,101.0,Co-60,1199.58,210.0,1.0
Lisimeter_2,2025-08-25 21:25:37,24.77,55.43,47.03,7.16,758.0,167.0,76.0,120.0,Co-60,1255.85,209.0,1.93
Lisimeter_1,2025-08-25 21:25:37,24.85,53.71,43.1,7.24,996.0,133.0,58.0,75.0,Co-60,1246.52,211.0,1.14
Lisimeter_2,2025-08-25 21:25:39,24.75,54.89,45.45,7.13,919.0,182.0,73.0,105.0,Co-60,1247.65,215.0,1.99
Lisimeter_1,2025-08-25 21:25:39,25.53,54.08,45.85,7.12,605.0,115.0,76.0,68.0,Co-60,1250.71,210.0,1.05
Lisimeter_2,2025-08-25 21:25:41,25.2,53.66,43.74,7.12,637.0,137.0,75.0,61.0,Co-60,1240.16,214.0,1.37
Lisimeter_1,2025-08-25 21:25:41,25.02,54.93,46.04,7.23,763.0,119.0,98.0,147.0,Co-60,1295.52,196.0,1.84
Lisimeter_2,2025-08-25 21:25:43,24.53,54.24,44.05,7.23,884.0,179.0,85.0,65.0,Co-60,1285.19,194.0,2.3
Lisimeter_1,2025-08-25 21:25:43,25.23,54.97,45.97,7.29,646.0,185.0,56.0,77.0,Co-60,1287.78,192.0,1.07
Lisimeter_2,2025-08-25 21:25:45,24.99,54.52,45.8,7.27,574.0,150.0,97.0,83.0,Co-60,1302.94,209.0,1.7
Lisimeter_1,2025-08-25 21:25:45,24.5,54.26,45.07,7.16,689.0,172.0,73.0,99.0,Co-60,1328.7,206.0,1.83
Lisimeter_2,2025-08-25 21:25:47,24.88,52.74,46.18,7.23,698.0,141.0,63.0,77.0,Co-60,1180.12,199.0,1.47
Lisimeter_1,2025-08-25 21:25:47,24.78,52.97,46.37,7.22,785.0,149.0,68.0,97.0,Co-60,1240.95,196.0,2.48
Lisimeter_2,2025-08-25 21:25:49,24.96,52.82,43.39,7.27,915.0,122.0,74.0,96.0,Co-60,1250.72,200.0,2.1
Lisimeter_1,2025-08-25 21:25:49,24.89,52.89,45.85,7.25,603.0,167.0,99.0,84.0,Co-60,1170.89,197.0,2.1
Lisimeter_2,2025-08-25 21:25:51,24.69,53.77,46.55,7.13,960.0,131.0,64.0,134.0,Co-60,1254.38,199.0,2.25
Lisimeter_1,2025-08-25 21:25:51,24.05,52.94,45.66,7.22,829.0,110.0,59.0,113.0,Co-60,1216.33,194.0,2.07
Lisimeter_2,2025-08-25 21:25:53,24.9,52.18,47.27,7.18,794.0,180.0,81.0,92.0,Co-60,1181.45,195.0,1.19
Lisimeter_1,2025-08-25 21:25:53,24.53,53.14,46.24,7.23,982.0,180.0,88.0,88.0,Co-60,1178.69,209.0,1.67
Lisimeter_2,2025-08-25 21:25:55,24.06,52.85,44.28,7.29,642.0,189.0,92.0,57.0,Co-60,1270.98,203.0,1.08
Lisimeter_1,2025-08-25 21:25:55,24.6,52.38,44.65,7.16,955.0,157.0,92.0,132.0,Co-60,1309.83,201.0,1.77
Lisimeter_2,2025-08-25 21:25:57,24.41,52.0,46.31,7.15,746.0,169.0,52.0,83.0,Co-60,1258.8,213.0,2.2
Lisimeter_1,2025-08-25 21:25:57,23.94,53.15,44.5,7.17,607.0,121.0,98.0,138.0,Co-60,1303.12,207.0,1.93
Lisimeter_2,2025-08-25 21:25:59,24.57,52.94,44.31,7.12,831.0,139.0,93.0,65.0,Co-60,1278.37,205.0,2.21
Lisimeter_1,2025-08-25 21:25:59,24.48,52.93,45.48,7.29,986.0,126.0,94.0,142.0,Co-60,1268.8,221.0,1.99
Lisimeter_2,2025-08-25 21:26:01,23.95,51.03,46.97,7.14,754.0,155.0,93.0,84.0,Co-60,1188.41,223.0,1.14
Lisimeter_1,2025-08-25 21:26:01,24.21,51.05,45.76,7.15,819.0,126.0,68.0,144.0,Co-60,1187.76,219.0,2.05
Lisimeter_2,2025-08-25 21:26:03,24.36,51.45,45.77,7.1,755.0,160.0,86.0,94.0,Co-60,1220.07,214.0,1.75
Lisimeter_1,2025-08-25 21:26:03,23.85,51.15,44.97,7.2,618.0,118.0,83.0,100.0,Co-60,1257.31,232.0,1.5
Lisimeter_2,2025-08-25 21:26:05,24.5,51.73,47.09,7.12,902.0,120.0,97.0,134.0,Co-60,1290.75,226.0,2.43
Lisimeter_1,2025-08-25 21:26:05,23.62,50.78,45.0,7.19,566.0,125.0,54.0,90.0,Co-60,1182.06,222.0,1.05
Lisimeter_2,2025-08-25 21:26:07,24.39,50.76,47.67,7.13,535.0,102.0,64.0,104.0,Co-60,1248.6,227.0,2.17
Lisimeter_1,2025-08-25 21:26:07,23.77,51.26,46.41,7.2,822.0,164.0,52.0,76.0,Co-60,1197.07,241.0,2.34
Lisimeter_2,2025-08-25 21:26:09,23.77,49.95,45.85,7.21,638.0,115.0,97.0,51.0,Co-60,1215.93,240.0,1.06
Lisimeter_1,2025-08-25 21:26:09,24.22,49.8,48.46,7.12,823.0,147.0,70.0,95.0,Co-60,1204.69,241.0,1.65
Lisimeter_2,2025-08-25 21:26:11,24.05,50.12,48.49,7.13,814.0,172.0,98.0,73.0,Co-60,1188.07,251.0,1.78
Lisimeter_1,2025-08-25 21:26:11,23.55,49.21,47.12,7.27,836.0,191.0,90.0,110.0,Co-60,1265.41,257.0,1.87
Lisimeter_2,2025-08-25 21:26:13,24.32,49.6,46.33,7.26,934.0,190.0,57.0,52.0,Co-60,1216.22,255.0,1.61
Lisimeter_1,2025-08-25 21:26:13,24.43,50.55,49.49,7.16,585.0,145.0,68.0,76.0,Co-60,1317.32,247.0,1.78
Lisimeter_2,2025-08-25 21:26:15,24.51,48.93,47.94,7.24,626.0,162.0,52.0,121.0,Co-60,1250.29,262.0,1.24
Lisimeter_1,2025-08-25 21:26:15,23.9,48.81,48.51,7.21,951.0,198.0,55.0,75.0,Co-60,1285.86,271.0,1.65
Lisimeter_2,2025-08-25 21:26:17,23.64,49.55,47.68,7.16,854.0,117.0,74.0,145.0,Co-60,1194.74,274.0,2.09
Lisimeter_1,2025-08-25 21:26:17,23.55,48.26,48.8,7.16,719.0,148.0,61.0,114.0,Co-60,1323.83,258.0,1.62
Lisimeter_2,2025-08-25 21:26:19,23.67,48.5,47.76,7.18,718.0,139.0,93.0,107.0,Co-60,1284.84,281.0,1.83
Lisimeter_1,2025-08-25 21:26:19,24.39,49.39,50.05,7.12,660.0,166.0,60.0,119.0,Co-60,1181.28,276.0,1.54
Lisimeter_2,2025-08-25 21:26:21,23.78,48.53,48.07,7.21,916.0,192.0,78.0,141.0,Co-60,1234.42,284.0,1.45
Lisimeter_1,2025-08-25 21:26:21,24.2,47.65,50.21,7.23,679.0,137.0,71.0,117.0,Co-60,1214.09,272.0,2.4
Lisimeter_2,2025-08-25 21:26:23,24.43,49.24,49.5,7.16,882.0,196.0,84.0,102.0,Co-60,1256.57,277.0,2.19
Lisimeter_1,2025-08-25 21:26:23,23.83,48.7,49.8,7.07,963.0,130.0,51.0,70.0,Co-60,1283.02,294.0,1.37
Lisimeter_2,2025-08-25 21:26:25,24.2,47.62,50.75,7.2,896.0,143.0,98.0,141.0,Co-60,1268.14,288.0,1.93
Lisimeter_1,2025-08-25 21:26:25,24.59,48.57,49.0,7.16,597.0,177.0,89.0,124.0,Co-60,1190.79,287.0,1.89
Lisimeter_2,2025-08-25 21:26:27,24.42,47.82,49.87,7.2,599.0,194.0,78.0,75.0,Co-60,1312.65,281.0,1.4
Lisimeter_1,2025-08-25 21:26:27,23.86,47.0,52.87,7.08,784.0,156.0,86.0,148.0,Co-60,1263.92,283.0,1.53
Lisimeter_2,2025-08-25 21:26:29,24.69,47.15,53.11,7.14,984.0,182.0,59.0,80.0,Co-60,1309.81,293.0,1.17
Lisimeter_1,2025-08-25 21:26:29,24.67,47.85,51.97,7.11,620.0,123.0,66.0,126.0,Co-60,1311.93,306.0,1.87
Lisimeter_2,2025-08-25 21:26:31,24.64,47.23,52.19,7.23,555.0,198.0,74.0,131.0,Co-60,1291.4,290.0,1.42
Lisimeter_1,2025-08-25 21:26:31,24.11,46.38,54.01,7.21,856.0,170.0,85.0,77.0,Co-60,1271.85,303.0,2.0
Lisimeter_2,2025-08-25 21:26:33,24.69,47.56,50.88,7.23,652.0,113.0,79.0,64.0,Co-60,1250.12,306.0,2.25
Lisimeter_1,2025-08-25 21:26:33,24.18,47.57,52.55,7.25,538.0,115.0,57.0,143.0,Co-60,1188.46,292.0,1.68
Lisimeter_2,2025-08-25 21:26:35,24.51,46.97,52.4,7.2,571.0,154.0,89.0,116.0,Co-60,1239.2,294.0,1.49
Lisimeter_1,2025-08-25 21:26:35,24.16,46.44,53.49,7.17,706.0,146.0,87.0,89.0,Co-60,1272.75,293.0,1.16
Lisimeter_2,2025-08-25 21:26:37,24.29,45.34,54.63,7.21,644.0,104.0,96.0,106.0,Co-60,1227.7,309.0,1.09
Lisimeter_1,2025-08-25 21:26:37,24.93,47.14,53.4,7.05,608.0,194.0,61.0,124.0,Co-60,1230.14,296.0,1.76
Lisimeter_2,2025-08-25 21:26:39,25.02,45.7,55.04,7.05,925.0,193.0,96.0,61.0,Co-60,1262.82,292.0,1.5
Lisimeter_1,2025-08-25 21:26:39,25.13,46.58,54.85,7.15,969.0,107.0,68.0,95.0,Co-60,1273.0,300.0,1.03
Lisimeter_2,2025-08-25 21:26:41,24.64,46.57,56.0,7.2,596.0,192.0,75.0,130.0,Co-60,1224.25,303.0,1.23
Lisimeter_1,2025-08-25 21:26:41,24.52,46.75,55.59,7.09,762.0,181.0,57.0,107.0,Co-60,1224.46,301.0,1.55
Lisimeter_1,2025-08-25 21:26:43,24.51,45.89,55.44,7.15,832.0,110.0,60.0,138.0,Co-60,1307.89,287.0,2.12
Lisimeter_2,2025-08-25 21:26:43,25.34,45.15,53.27,7.03,986.0,111.0,75.0,69.0,Co-60,1210.61,291.0,1.56
Lisimeter_1,2025-08-25 21:26:45,24.86,45.22,54.86,7.16,574.0,195.0,57.0,80.0,Co-60,1183.55,285.0,2.12
Lisimeter_2,2025-08-25 21:26:45,25.04,45.53,56.14,7.04,765.0,113.0,51.0,143.0,Co-60,1307.25,283.0,2.19
Lisimeter_1,2025-08-25 21:26:47,24.93,44.68,54.41,7.04,828.0,133.0,81.0,74.0,Co-60,1306.17,281.0,2.34
Lisimeter_2,2025-08-25 21:26:48,25.33,45.37,56.24,7.08,600.0,190.0,93.0,65.0,Co-60,1315.61,283.0,2.5
Lisimeter_1,2025-08-25 21:26:50,25.59,45.59,58.07,7.18,864.0,153.0,82.0,71.0,Co-60,1244.39,282.0,1.09
Lisimeter_2,2025-08-25 21:26:50,25.64,45.6,56.2,7.02,951.0,111.0,100.0,78.0,Co-60,1254.89,287.0,2.16
Lisimeter_1,2025-08-25 21:26:52,25.24,46.07,57.96,7.03,688.0,103.0,59.0,65.0,Co-60,1238.7,272.0,1.74
Lisimeter_2,2025-08-25 21:26:52,25.54,44.99,58.39,7.18,626.0,105.0,55.0,133.0,Co-60,1243.17,263.0,1.01
Lisimeter_1,2025-08-25 21:26:54,25.08,45.28,58.36,7.1,556.0,117.0,94.0,143.0,Co-60,1205.6,273.0,1.85
Lisimeter_2,2025-08-25 21:26:54,25.08,45.55,58.23,7.02,513.0,191.0,73.0,96.0,Co-60,1281.16,270.0,1.21
Lisimeter_1,2025-08-25 21:26:56,25.22,44.6,56.44,7.02,704.0,109.0,96.0,131.0,Co-60,1289.79,261.0,1.89
Lisimeter_2,2025-08-25 21:26:57,25.14,44.98,59.67,7.09,649.0,107.0,98.0,88.0,Co-60,1219.08,255.0,1.25
Lisimeter_1,2025-08-25 21:26:58,25.74,44.46,60.14,7.17,827.0,199.0,100.0,138.0,Co-60,1209.53,259.0,1.81
Lisimeter_2,2025-08-25 21:26:59,25.26,44.23,59.48,7.1,610.0,149.0,54.0,121.0,Co-60,1189.5,261.0,1.55
Lisimeter_1,2025-08-25 21:27:00,25.34,44.98,57.26,7.0,1000.0,116.0,73.0,82.0,Co-60,1221.54,241.0,1.37
Lisimeter_2,2025-08-25 21:27:01,25.81,44.49,58.94,7.08,520.0,131.0,59.0,143.0,Co-60,1181.26,248.0,1.7
Lisimeter_1,2025-08-25 21:27:03,26.24,45.94,59.48,7.05,560.0,118.0,98.0,90.0,Co-60,1239.26,250.0,2.16
Lisimeter_2,2025-08-25 21:27:03,25.52,45.02,60.98,6.96,744.0,127.0,94.0,91.0,Co-60,1321.48,244.0,1.21
Lisimeter_1,2025-08-25 21:27:05,25.86,45.21,59.24,7.07,765.0,157.0,67.0,57.0,Co-60,1175.24,245.0,2.13
Lisimeter_2,2025-08-25 21:27:05,25.91,44.53,58.19,6.99,562.0,110.0,50.0,143.0,Co-60,1286.77,241.0,1.39
Lisimeter_1,2025-08-25 21:27:07,25.73,44.26,61.76,7.0,613.0,169.0,62.0,125.0,Co-60,1224.97,236.0,2.37
Lisimeter_2,2025-08-25 21:27:08,26.15,45.22,59.41,7.0,881.0,160.0,64.0,60.0,Co-60,1202.55,234.0,1.08
Lisimeter_1,2025-08-25 21:27:09,25.84,44.35,60.29,7.05,650.0,114.0,86.0,59.0,Co-60,1185.59,233.0,1.29
Lisimeter_2,2025-08-25 21:27:10,26.18,45.41,61.0,6.95,794.0,119.0,52.0,92.0,Co-60,1177.24,226.0,1.33
Lisimeter_1,2025-08-25 21:27:11,26.24,45.8,59.58,7.01,715.0,141.0,59.0,87.0,Co-60,1208.71,218.0,1.01
Lisimeter_2,2025-08-25 21:27:12,26.41,44.65,60.86,7.02,879.0,117.0,68.0,63.0,Co-60,1188.69,220.0,2.26
Lisimeter_1,2025-08-25 21:27:13,25.61,44.81,60.69,7.01,663.0,128.0,95.0,120.0,Co-60,1289.91,208.0,1.96
Lisimeter_2,2025-08-25 21:27:14,26.24,45.09,62.62,7.09,760.0,119.0,56.0,50.0,Co-60,1315.15,204.0,1.76
Lisimeter_1,2025-08-25 21:27:15,25.73,46.02,60.89,7.04,724.0,135.0,68.0,140.0,Co-60,1294.65,203.0,1.0
Lisimeter_2,2025-08-25 21:27:16,25.88,45.1,60.73,7.02,704.0,126.0,82.0,126.0,Co-60,1172.21,206.0,1.9
Lisimeter_1,2025-08-25 21:27:17,26.4,44.8,62.34,7.09,747.0,159.0,68.0,56.0,Co-60,1188.7,206.0,1.63
Lisimeter_2,2025-08-25 21:27:18,25.55,46.49,61.7,7.09,938.0,114.0,79.0,128.0,Co-60,1215.38,210.0,1.63
Lisimeter_1,2025-08-25 21:27:19,25.89,45.78,60.5,7.03,554.0,162.0,57.0,64.0,Co-60,1268.95,200.0,2.06
Lisimeter_2,2025-08-25 21:27:21,25.53,46.33,62.68,6.97,716.0,179.0,67.0,83.0,Co-60,1323.97,208.0,1.01
Lisimeter_1,2025-08-25 21:27:21,25.72,45.14,62.04,7.06,525.0,109.0,65.0,97.0,Co-60,1215.61,204.0,1.63
Lisimeter_2,2025-08-25 21:27:23,26.13,46.06,61.34,7.08,831.0,198.0,95.0,111.0,Co-60,1221.41,202.0,1.22
Lisimeter_1,2025-08-25 21:27:23,26.11,45.64,63.11,6.98,536.0,163.0,73.0,146.0,Co-60,1268.54,191.0,1.97
Lisimeter_2,2025-08-25 21:27:25,25.55,45.48,62.96,6.92,990.0,130.0,65.0,87.0,Co-60,1255.15,191.0,1.68
Lisimeter_1,2025-08-25 21:27:26,26.22,46.53,61.45,6.92,741.0,148.0,83.0,101.0,Co-60,1234.43,195.0,2.06
Lisimeter_2,2025-08-25 21:27:28,26.16,47.1,64.87,6.99,938.0,154.0,59.0,53.0,Co-60,1315.47,209.0,2.29
Lisimeter_1,2025-08-25 21:27:29,25.84,46.07,63.83,6.98,707.0,174.0,86.0,78.0,Co-60,1175.9,202.0,1.76
Lisimeter_2,2025-08-25 21:27:31,25.42,46.09,62.71,6.88,599.0,163.0,99.0,75.0,Co-60,1283.54,207.0,1.97
Lisimeter_1,2025-08-25 21:27:31,25.67,47.18,63.44,6.99,619.0,131.0,74.0,81.0,Co-60,1247.82,203.0,2.23
Lisimeter_2,2025-08-25 21:27:33,25.32,47.41,61.97,6.98,642.0,105.0,50.0,146.0,Co-60,1313.71,207.0,2.28
Lisimeter_1,2025-08-25 21:27:33,26.14,47.37,62.77,6.86,798.0,169.0,94.0,148.0,Co-60,1265.7,198.0,2.09
Lisimeter_1,2025-08-25 21:27:35,26.01,47.93,65.95,7.04,842.0,112.0,57.0,132.0,Co-60,1310.75,212.0,1.17
Lisimeter_2,2025-08-25 21:27:35,25.34,48.26,65.22,6.93,659.0,199.0,54.0,99.0,Co-60,1314.75,205.0,1.12
Lisimeter_1,2025-08-25 21:27:37,25.31,47.28,63.85,6.84,916.0,129.0,59.0,62.0,Co-60,1266.61,213.0,1.94
Lisimeter_2,2025-08-25 21:27:37,25.22,48.59,65.74,6.86,789.0,194.0,59.0,74.0,Co-60,1213.83,205.0,1.52
Lisimeter_1,2025-08-25 21:27:40,25.56,48.97,64.53,6.88,900.0,120.0,78.0,143.0,Co-60,1200.71,210.0,1.56
Lisimeter_2,2025-08-25 21:27:40,25.62,48.15,66.19,6.91,633.0,140.0,92.0,149.0,Co-60,1190.56,206.0,1.59
Lisimeter_1,2025-08-25 21:27:42,25.72,48.25,66.24,6.82,659.0,105.0,84.0,122.0,Co-60,1254.45,212.0,1.22
Lisimeter_2,2025-08-25 21:27:42,25.65,48.52,64.49,6.91,966.0,199.0,73.0,76.0,Co-60,1238.86,228.0,2.2
Lisimeter_1,2025-08-25 21:27:44,25.87,47.74,66.45,6.95,787.0,188.0,69.0,97.0,Co-60,1257.56,214.0,1.08
Lisimeter_2,2025-08-25 21:27:44,25.83,49.35,66.17,7.0,774.0,157.0,67.0,108.0,Co-60,1266.02,229.0,1.01
Lisimeter_1,2025-08-25 21:27:46,25.63,48.81,63.32,6.83,619.0,164.0,89.0,123.0,Co-60,1227.84,224.0,1.01
Lisimeter_2,2025-08-25 21:27:46,24.88,49.59,65.71,6.9,684.0,103.0,79.0,83.0,Co-60,1224.8,225.0,2.31
Lisimeter_1,2025-08-25 21:27:49,24.94,49.96,65.36,6.93,796.0,130.0,62.0,131.0,Co-60,1235.99,227.0,1.19
Lisimeter_2,2025-08-25 21:27:49,25.09,50.16,65.82,6.84,972.0,136.0,58.0,147.0,Co-60,1200.57,229.0,1.23
Lisimeter_1,2025-08-25 21:27:51,25.24,50.54,65.43,6.93,579.0,144.0,72.0,125.0,Co-60,1241.91,237.0,1.17
Lisimeter_2,2025-08-25 21:27:51,25.07,50.12,64.25,6.98,910.0,138.0,58.0,58.0,Co-60,1218.11,254.0,1.48
Lisimeter_2,2025-08-25 21:27:53,25.43,50.02,64.0,6.94,825.0,194.0,99.0,120.0,Co-60,1303.5,241.0,2.08
Lisimeter_1,2025-08-25 21:27:53,24.91,49.93,65.91,6.94,560.0,166.0,72.0,129.0,Co-60,1214.62,245.0,2.3
Lisimeter_2,2025-08-25 21:27:55,25.34,50.15,64.63,6.79,917.0,118.0,68.0,92.0,Co-60,1318.24,257.0,1.52
Lisimeter_1,2025-08-25 21:27:55,25.1,50.32,65.14,6.9,942.0,157.0,77.0,64.0,Co-60,1238.27,263.0,1.08
